Name,Age,Gender,Race
Adalynn,5.6,Female,White
Addyson,9.77,Female,White
Aisha,25.49,Female,Black
Alexus,20.18,Female,White
Allison,27.83,Female,White
Aniyah,10.47,Female,Black
Ashanti,20.06,Female,Black
Aubrey,25.01,Female,White
Beckett,6.67,Male,White
Brendan,26.08,Male,White
Brittani,28.98,Female,White
Brynlee,6.57,Female,White
Caleb,17.53,Male,White
Cayden,10.12,Male,White
Chelsey,26.87,Female,White
Ciera,24.22,Female,Black
Cierra,22.89,Female,Black
Cody,26.25,Male,White
Connor,15.61,Male,White
D'Andre,22.26,Male,Black
DaQuan,21.53,Male,Black
Darnell,21.48,Male,Black
DeAndre,23.44,Male,Black
Debra,21.07,Female,White
Deloris,29.54,Female,White
Denisha,24.11,Female,Black
Devonte,21.39,Male,Black
Elijah,17.02,Male,White
Ethan,15.16,Male,White
Everly,4.21,Female,White
Hakim,29.16,Male,Black
Hannah,24.16,Female,White
Hunter,16.74,Male,White
Iker,5.89,Male,White
Isaac,25.75,Male,White
Isaiah,16.96,Male,Black
Israel,28.32,Male,Black
Jadyn,14.3,Male,Black
Jaiden,11.31,Male,Black
Jake,28.75,Male,White
Jalen,17.61,Male,Black
Jamal,27.73,Male,Black
Janiya,12.48,Female,Black
Janiyah,10.24,Female,Black
Jayden,10.17,Male,Black
Jayvon,15.06,Male,Black
Kadence,10.34,Female,White
Kaitlin,24.97,Female,White
Kareem,25.62,Male,Black
Katlyn,23.1,Female,White
Kaydence,9.36,Female,White
Kenya,29.11,Female,Black
Kevon,20.76,Male,Black
Keyana,23.57,Female,Black
Keyshawn,16.86,Male,Black
Khloe,7.93,Female,White
King,23.94,Male,Black
Latrell,21.64,Male,Black
Lesly,19.29,Female,White
Logan,15.67,Male,White
Londyn,7.07,Female,White
Luke,20.24,Male,White
Master,26.15,Male,White
Nevaeh,10.06,Female,Black
Nia,17.57,Female,Black
Precious,27.55,Female,Black
Presley,13.43,Male,White
Presly,10.73,Female,White
Rasheed,26.05,Male,Black
Seth,27.64,Male,White
Shanice,26.24,Female,Black
Tayler,21.57,Female,White
Terell,26.74,Male,Black
Titus,20.89,Male,White
Yahir,11.57,Male,Black
Zayden,6.39,Male,White
Abe,82.11,Male,White
Alice,84.08,Female,White
Alonzo,54.39,Male,Latinx
Ambrose,74.92,Male,Black
Ann,73.03,Female,White
Anna,71.77,Female,White
Anne,69.19,Female,White
Arthur,80.13,Male,White
Barbara,72.99,Female,White
Betty,83.4,Female,White
Bettye,81.54,Female,White
Booker,79.62,Male,Black
Brad,48.82,Male,White
Carol,70.47,Female,White
Carole,73.76,Female,White
Carrie,68.02,Female,White
Catherine,68.9,Female,White
Cathy,60.48,Female,White
Charles,70.49,Male,White
Charlie,69.41,Male,White
Cheryl,60.54,Female,White
David,54.45,Male,White
DeShawn,61.16,Male,Black
Deborah,60.6,Female,White
Deja,80.03,Female,Black
Delbert,76.99,Male,White
Dick,83.6,Male,White
Dolores,82.77,Female,White
Donald,72.3,Male,White
Doug,59.05,Male,White
Dudley,80.26,Male,White
Earnestine,78.91,Female,White
Edward,73.37,Male,White
Elizabeth,58.54,Female,White
Evelyn,70.06,Female,White
Frank,79.65,Male,White
Freeman,77.23,Male,Black
Geoffrey,46.03,Male,White
George,79.74,Male,White
Geraldine,81.99,Female,White
Greg,55.86,Male,White
Heinz,65.29,Male,White
Henry,69.91,Male,White
Jack,61.18,Male,White
James,66.16,Male,White
Jay,56.86,Male,White
Jill,52.67,Female,White
Joan,76.76,Female,White
Jodi,47.18,Female,White
John,68.67,Male,White
Joseph,58.81,Male,White
Judith,70.3,Female,White
Julia,57.08,Female,White
Katherine,52.52,Female,White
Kathi,60.46,Female,White
Kay,71.58,Female,White
Kim,57.37,Female,White
Lamar,48.4,Male,Black
Laura,56.92,Female,White
Laurie,56.57,Female,White
Leroy,78.91,Male,Black
Lesa,54.8,Female,White
Linda,66.3,Female,White
Lisa,50.77,Female,White
Lori,53.02,Female,White
Louella,86.96,Female,White
Luann,61.46,Female,White
Margaret,82.0,Female,White
Maria,48.62,Female,Latinx
Marie,85.41,Female,White
Melva,81.17,Female,White
Michael,48.56,Male,White
Moses,53.73,Male,Black
Neil,57.52,Male,White
Pam,60.52,Female,White
Pat,76.01,Male,White
Patricia,68.28,Female,White
Patsy,77.28,Female,White
Patti,62.72,Female,White
Pearlie,89.41,Female,White
Percy,82.46,Male,White
Perlie,95.44,Female,Black
Peter,59.12,Male,White
Phyllis,79.49,Female,White
Purlie,92.0,Female,Black
Raymond,71.77,Male,White
Rhonda,55.84,Female,White
Robert,67.62,Male,White
Ronny,54.97,Male,White
Sally,71.55,Female,White
Sarah,45.29,Female,White
Scott,49.23,Male,White
Sherri,54.34,Female,White
Tammi,50.54,Female,White
Tammie,52.55,Female,White
Tammy,52.02,Female,White
Thomas,62.31,Male,White
Todd,49.23,Male,White
Tonya,47.11,Female,Black
Tracey,49.49,Female,White
Traci,46.67,Female,White
Tracie,47.7,Female,White
Tricia,45.05,Female,White
Tyrone,46.7,Male,Black
Vicki,62.16,Female,White
Vickie,61.49,Female,White
Walter,81.76,Male,White
William,68.1,Male,White
